True Label,Bacterial_spot,Early_blight,healthy,Late_blight,Leaf_Mold,powdery_mildew,Septoria_leaf_spot,Spider_mites Two-spotted_spider_mite,Target_Spot,Tomato_mosaic_virus,Tomato_Yellow_Leaf_Curl_Virus
Bacterial_spot,713,5,0,0,8,0,2,0,0,1,3
Early_blight,2,619,8,5,8,0,0,1,0,0,0
healthy,4,11,775,0,1,0,0,0,0,1,0
Late_blight,3,0,2,731,0,0,0,0,1,1,1
Leaf_Mold,9,7,1,0,727,1,0,0,1,0,0
powdery_mildew,0,0,0,0,0,434,1,0,0,0,0
Septoria_leaf_spot,0,2,0,0,1,4,448,0,0,2,0
Spider_mites Two-spotted_spider_mite,1,0,0,0,0,0,0,495,2,0,0
Target_Spot,1,0,0,1,0,0,0,1,580,1,0
Tomato_mosaic_virus,0,0,1,3,1,0,0,1,0,799,0
Tomato_Yellow_Leaf_Curl_Virus,1,0,1,2,3,0,0,0,0,0,245
